dataset,block,condition,orderPosition,elapsedSec,numInferences,secPerInference,measuredWatts,energyJPerInference,theoreticalMACReduction,stalled,overrunRatio
Fashion-MNIST,5,pruned,1,60.0212964,349568,0.0001717013468052,27.8256666666667,0.00477770444241921,24.4395896656535,0,1.00035494
Fashion-MNIST,5,baseline,2,60.0084107,306304,0.000195911286499687,26.3044137931034,0.005153331546827,24.4395896656535,0,1.00014017833333
Fashion-MNIST,5,baseline_ft,3,60.0163896,306944,0.000195528792222686,26.9950666666667,0.00527831278130421,24.4395896656535,0,1.00027316
Fashion-MNIST,6,baseline_ft,1,60.0241193,303488,0.000197780865470793,27.8974,0.0055175719163849,24.4395896656535,0,1.00040198833333
Fashion-MNIST,6,pruned,2,60.0122853,355584,0.000168771050722192,27.6351333333333,0.00466401048951454,24.4395896656535,0,1.000204755
Fashion-MNIST,6,baseline,3,60.0220007,307328,0.000195302740720012,27.3452666666667,0.0053406055257196,24.4395896656535,0,1.00036667833333
MIT-BIH,1,pruned,1,60.0055484,852096,7.04211126445847e-05,24.7994666666667,0.00174640603565896,25.5090589822309,0,1.00009247333333
MIT-BIH,1,baseline,2,60.0073231,791424,7.58219653434821e-05,23.9671333333333,0.00181723515298262,25.5090589822309,0,1.00012205166667
MIT-BIH,1,baseline_ft,3,60.0050362,799232,7.50783704856662e-05,24.2593666666667,0.00182135371834762,25.5090589822309,0,1.00008393666667
MIT-BIH,2,pruned,1,60.0086311,874880,6.85906994102048e-05,23.8952666666667,0.00163899305326002,25.5090589822309,0,1.00014385166667
MIT-BIH,2,baseline_ft,2,60.0032866,779776,7.69493887988345e-05,23.5866333333333,0.00181497701882222,25.5090589822309,0,1.00005477666667
MIT-BIH,2,baseline,3,60.0055645,779008,7.70281749353023e-05,23.4518,0.00180644935294772,25.5090589822309,0,1.00009274166667
MIT-BIH,3,baseline,1,60.0088649,755840,7.93936083033446e-05,19.9877333333333,0.00158689827113837,25.5090589822309,0,1.00014774833333
MIT-BIH,3,baseline_ft,2,60.0045846,736896,8.14288374478895e-05,16.8488333333333,0.00137198091068658,25.5090589822309,0,1.00007641
MIT-BIH,3,pruned,3,60.0013974,788480,7.60975514914773e-05,17.0127,0.00129462481425906,25.5090589822309,0,1.00002329
MIT-BIH,4,baseline_ft,1,60.006927,844800,7.10309268465909e-05,23.5762333333333,0.00167464170521816,25.5090589822309,0,1.00011545
MIT-BIH,4,baseline,2,60.0054457,789760,7.59793427117099e-05,24.0538333333333,0.00182759444636368,25.5090589822309,0,1.00009076166667
MIT-BIH,4,pruned,3,60.0092733,850688,7.05420474956741e-05,23.5078666666667,0.00165829304692197,25.5090589822309,0,1.000154555
MIT-BIH,5,pruned,1,60.0059743,853888,7.02738231477664e-05,22.6431333333333,0.00159121954737796,25.5090589822309,0,1.00009957166667
MIT-BIH,5,baseline,2,60.01075,779008,7.70348314779823e-05,22.6774,0.00174694968735879,25.5090589822309,0,1.00017916666667
MIT-BIH,5,baseline_ft,3,60.0164038,785024,7.64516802034078e-05,22.7158333333333,0.00173666362555391,25.5090589822309,0,1.00027339666667
MIT-BIH,6,baseline_ft,1,60.0089253,769408,7.79936331569206e-05,22.4262,0.00174910081590373,25.5090589822309,0,1.000148755
MIT-BIH,6,pruned,2,60.0013038,834048,7.1939868928407e-05,22.162,0.00159433137519136,25.5090589822309,0,1.00002173
